title,location,size,rental fee
5 Bed Townhouse with En Suite at Loresho,"loresho, Loresho, Westlands",5 Bedroom Townhouse For Rent in Loresho in a ga...,"KSh 220,000"
4 Bed House with En Suite at Lavington Green,"Lavington Green, Lavington",Outstanding secure 4 bedrooms corner townhouse...,"KSh 250,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4 Bedroom All En Suite+ dsq Townhouse For Rent...,"KSh 250,000"
5 Bed House with En Suite at Runda Grove,"Nairobi Runda, Runda Grove, Runda, Westlands",Amazing 5 Bedroom Family Home For rent,"KSh 430,000"
5 Bed Townhouse with En Suite at Yaya,"Yaya, Kilimani",Elegantly designed 5 bedrooms corner townhouse...,"KSh 160,000"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4 Bedroom All En Suite + Dsq House For Rent in...,"KSh 250,000"
3 Bed House with En Suite in Kileleshwa,Kileleshwa,3 Bedroom House with a detached Dsq for rent at...,"KSh 100,000"
4 Bed Townhouse with En Suite at Kitisuru,"Kitisuru, Westlands",Kitisuru: 4 bedroom All en-suite Townhouse – To...,"KSh 450,000"
5 Bed House with En Suite at Whispers Avenue,"Off UN avenue, Whispers Avenue, Gigiri, Westlands",5 Bedroom Family Home For Rent in Gigiri,"KSh 350,000"
2 Bed House with En Suite at Maanzoni,"Maanzoni area Off Mombasa road, Maanzoni, Athi River",New Exciting & Fully furnished 2 Bedroom House...,"KSh 250,000"
4 Bed Townhouse with Garden at Aboretum Drive,"Aboretum Drive, Riverside, Westlands",4 bedroom townhouses in a compound of 19,"KSh 190,000"
2 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",Charming 2 Bedroom Cottage ( Unfurnished),"KSh 130,000"
4 Bed House with En Suite at Runda,"Runda, Westlands",RUNDA : A 4 Bedroom Cottage – To Let,"KSh 350,000"
3 Bed House with En Suite at Lavington Green,"Lavington Green, Lavington",Stunning secure 3 bedrooms bungalow plus study...,"KSh 220,000"
6 Bed Townhouse with En Suite at Lavington Green,"Lavington Green, Lavington",Most attractive secure 6 bedrooms townhouse plu...,"KSh 200,000"
4 Bed House with En Suite at Kileleshwa,Kileleshwa,Stunning secure 4 bedroom double storey house p...,"KSh 300,000"
5 Bed House with En Suite at Ndege Road,"Karen, Ndege Road",New Amazing 5 Bedroom Family Home For Rent in K...,"KSh 600,000"
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",4 Bedroom Master En Suite + Dsq House For Rent...,"KSh 190,000"
5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali","Villa situated in Nyali, Mombasa","KSh 300,000"
4 Bed Townhouse with En Suite at Spring Valley,"Spring valley, Brookside, Westlands",4 Bedroom All En Suite + Dsq House For Rent in...,"KSh 250,000"
6 Bed House with En Suite at Runda,"Runda, Westlands",RUNDA: A 6 Bedroom Double Storey House – To Let,"KSh 350,000"
5 Bed Villa with En Suite at Lavington Green,"Lavington Green, Lavington",Magnificent secure 5 bedrooms corner villa plus...,"KSh 350,000"
4 Bed House with En Suite at Maziwa,"Maziwa, Lavington",Impressive secure 4 bedrooms townhouse plus TV...,"KSh 155,000"
5 Bed Townhouse with En Suite at Lavington Green,"Lavington Green, Lavington",Extremely beautiful 5 bedrooms townhouse plus f...,"KSh 250,000"
8 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",Elegant 8 bedroom all ensuite house for rent in...,"KSh 450,000"
4 Bed Villa with En Suite at Lavington Green,"Lavington Green, Lavington",Charming secure 4 bedrooms house plus family rm...,"KSh 280,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Runda Estate : A Stylish 4 Bedroom cottage on 1...,"KSh 350,000"
4 Bed House with Garden in Runda,"Runda, Westlands",Lovely 4 Bedroom House for Rent in Runda,"KSh 350,000"
4 Bed Townhouse with Garden at Aboretum Drive,"Aboretum Drive, Riverside, Westlands",4 bedroom townhouses in a compound of 19,"KSh 190,000"
5 Bed House with En Suite at Lavington,Lavington,Lavington : 5 Bedroom Double Storey House on 0....,"KSh 300,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Lavington Estate: 5 Bedroom Ultra-Modern TownHo...,"KSh 200,000"
4 Bed House with En Suite at Syokimau,"Syokimau, Mombasa Road",4 Bedroom House all bedroom en-suite + dsq For...,"KSh 100,000"
4 Bed Townhouse with En Suite at Spring Valley,"Spring Valley, Westlands",4 Bedrooms All Ensuite at Sprig Valley,"KSh 300,000"
5 Bed House with En Suite at Lower Kabete,"Lower Kabete, Westlands",Lower Kabete: 5 Bedroom Stand Alone House With...,"KSh 350,000"
5 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",5 bedroom Townhouse to let in Lavington,"KSh 250,000"
1 Bed House with En Suite in Runda,"Runda, Westlands","Furnished Cottage For Rent,Runda","KSh 140,000"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4 Bedroom All En Suite + Dsq House For rent in...,"KSh 400,000"
4 Bed House with En Suite at Miotoni,"1, Miotoni, Karen",Amazing Four Bedroom Family Home For Rent in Ka...,"KSh 350,000"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4 Bedroom All En Suite+ Dsq Townhouse for rent...,"KSh 250,000"
5 Bed Villa with En Suite at Ruaka Road,"Runda,Nairobi, Ruaka road, Runda, Westlands",Homely 5 Bedroom Villa For Rent in Runda,"KSh 534,000"
4 Bed House with En Suite at Kitisuru,"kitisuru, Nyari, Westlands",4 Bedroom All En Suite + Dsq House For rent in...,"KSh 250,000"
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",Executive 4 Bedroom House all en-suite + dsq fo...,"KSh 250,000"
4 Bed Villa with En Suite at Maziwa,"Maziwa, Lavington",Magnificent secure 4 bedrooms house plus family...,"KSh 280,000"
5 Bed Villa with En Suite at Lavington Green,"Lavington Green, Lavington",Elegantly designed 5 bedrooms townhouse plus fa...,"KSh 350,000"
4 Bed House with Garden in Nyali Area,"Nyali Area, Nyali",A Four Bedroom Residence TO LET - Nyali on one...,"KSh 120,000"
4 Bed House with Backup Generator in Kyuna,"Kyuna, Westlands",4 Bedroom Townhouse For Rent In Kyuna.,"KSh 260,000"
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",Executive 4 Bedroom Bungalow commercial for ren...,"KSh 300,000"
4 Bed House with En Suite at Redhill Off Limuru Rd,"01, Redhill off Limuru Rd, Redhill",Executive 4 Bedroom House all en-suite + Dsq fo...,"KSh 145,000"
5 Bed Villa with En Suite in Lavington,Lavington,Lavington Estate: 5 Bedroom with DSQ – To Let,"KSh 200,000"
4 Bed House with En Suite in Karen,Karen,5 bedroom house to let in Karen,"KSh 300,000"
