house_href,house_price,house_location,furnished,service_type,property_type,bed_rooms
https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-rent-kileleshwa-3603103,110000.0,Kileleshwa,False,Rent,Apartments,2
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-lavington-3602778,300000.0,Lavington,False,Rent,Villas,5
https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-3603783,23000000.0,Kileleshwa,False,Sale,Apartments,3
https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3602190,95000000.0,Lavington,False,Sale,Townhouses,5
https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-3602402,25500000.0,Kileleshwa,False,Sale,Apartments,4
https://www.buyrentkenya.com/listings/furnished-studio-apartment-for-rent-lavington-3602415,110000.0,Lavington,True,Rent,Apartments,0
https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-rent-kilimani-3601699,85000.0,Kilimani,False,Rent,Apartments,2
https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-rent-riverside-3601666,110000.0,"Riverside, Westlands",False,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3601686,160000.0,Kilimani,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-3601511,25000000.0,Kileleshwa,False,Sale,Apartments,4
https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-rent-rosslyn-3602160,180000.0,"Rosslyn, Westlands",True,Rent,Houses,3
https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-3601797,20000000.0,Kileleshwa,False,Sale,Apartments,3
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3601694,170000.0,Kilimani,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3601134,180000.0,Kilimani,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3600177,300000.0,Kilimani,True,Rent,Apartments,3
https://www.buyrentkenya.com/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3600592,200000.0,Kilimani,True,Rent,Apartments,3
https://www.buyrentkenya.com/listings/furnished-3-bedroom-apartment-for-rent-general-mathenge-3601027,280000.0,"General Mathenge, Westlands",True,Rent,Apartments,3
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-lower-kabete-3594429,500000.0,"Lower Kabete, Westlands",False,Rent,Villas,5
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3601103,180000.0,Kilimani,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-rhapta-road-3598171,250000.0,"Rhapta Road, Westlands",True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-3591440,10800000.0,Kilimani,False,Sale,Apartments,2
https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-spring-valley-3592347,67000000.0,"Spring Valley, Westlands",False,Sale,Apartments,4
https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-thigiri-3592756,225000000.0,"Thigiri, Westlands",False,Sale,Houses,7
https://www.buyrentkenya.com/listings/7-bedroom-house-for-rent-kitisuru-3594361,1000000.0,"Kitisuru, Westlands",False,Rent,Houses,7
https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-3599187,19800000.0,Kileleshwa,False,Sale,Apartments,3
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kitisuru-3590974,200000.0,"Kitisuru, Westlands",True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kilimani-1-3600092,300000.0,Kilimani,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-5-bedroom-villa-for-rent-lower-kabete-3593422,425000.0,"Lower Kabete, Westlands",True,Rent,Villas,5
https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-rent-parklands-3589046,270000.0,"Parklands, Westlands",False,Rent,Apartments,3
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-karen-3589002,350000.0,Karen,False,Rent,Villas,5
https://www.buyrentkenya.com/listings/furnished-1-bedroom-apartment-for-rent-lavington-3600158,130000.0,Lavington,True,Rent,Apartments,1
https://www.buyrentkenya.com/listings/furnished-1-bedroom-apartment-for-rent-rhapta-road-3591049,160000.0,"Rhapta Road, Westlands",True,Rent,Apartments,1
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3585340,180000000.0,Karen,False,Sale,Villas,5
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lower-kabete-3587857,100000000.0,"Lower Kabete, Westlands",False,Sale,Villas,5
https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3584008,400000.0,"Kitisuru, Westlands",False,Rent,Houses,4
https://www.buyrentkenya.com/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3582748,200000.0,Kilimani,True,Rent,Apartments,3
https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3585489,65000000.0,Karen,False,Sale,Houses,4
https://www.buyrentkenya.com/listings/furnished-6-bedroom-house-for-sale-karen-hardy-3585891,107000000.0,Karen Hardy,True,Sale,Houses,6
https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-karen-hardy-3585874,135000000.0,Karen Hardy,False,Sale,Villas,6
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-hardy-3585548,120000000.0,Karen Hardy,False,Sale,Houses,5
