house_href,house_price,bed_rooms,furnished,house_location,service_type,property_type
https://www.buyrentkenya.com/listings/furnished-1-bedroom-apartment-for-rent-lavington-3652656,150000.0,Lavington,True,Rent,Apartments,1
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-parklands-3651088,320000.0,"Parklands, Westlands",True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3652660,250000.0,Karen,False,Rent,Houses,4
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kileleshwa-3651564,220000.0,Kileleshwa,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-sale-mombasa-road-3649477,55000000.0,Mombasa Road,True,Sale,Apartments,2
https://www.buyrentkenya.com/listings/furnished-5-bedroom-townhouse-for-sale-muthaiga-3651578,600000000.0,Muthaiga,True,Sale,Townhouses,5
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3649791,250000.0,"Westlands Area, Westlands",True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-4-bedroom-apartment-for-rent-karura-3648936,650000.0,"Karura, Westlands",True,Rent,Apartments,4
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-nyari-3649420,220000000.0,"Nyari, Westlands",False,Sale,Houses,5
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-mombasa-road-3649551,500000.0,Mombasa Road,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/furnished-3-bedroom-apartment-for-sale-kileleshwa-3649470,38000000.0,Kileleshwa,True,Sale,Apartments,3
https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3648616,430000.0,"Runda, Westlands",False,Rent,Houses,5
https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3648731,75000000.0,Karen,False,Sale,Houses,4
https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3648760,300000.0,Karen,False,Rent,Houses,5
https://www.buyrentkenya.com/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3648543,200000.0,Kilimani,True,Rent,Apartments,2
https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3648712,400000.0,Karen,False,Rent,Houses,5
